id,name,plan,price
1,Netflix(ベーシック),0,800
2,Netflix(スタンダード),0,1200
3,Netflix(プレミアム),0,1000
4,Youtubeプレミアム,0,1180
5,Spotify,0,980
6,Apple Music,0,980
7,Hulu,0,1026
8,dマガジン,0,400
9,楽天マガジン(月額プラン),0,380
10,楽天マガジン(年間プラン),1,3600
11,Apple Arcade,0,600
12,Nintendo Switch Online(月額プラン),0,306
13,Nintendo Switch Online(年間プラン),1,2400
14,PlayStation Now(1ヶ月利用権),0,1180
15,PlayStation Now(12ヶ月利用権),1,6980
16,PlayStation plus(1ヶ月利用権),0,850
17,PlayStation plus(12ヶ月利用権),1,5143
18,Evernote(プレミアム),0,600
19,iCloud(50G),0,130
20,iCloud(200G),0,400
21,iCloud(2T),0,1300
22,Google Drive,0,
23,Notion,,
24,Amazon Prime(年間プラン),1,4900
25,Amazon Prime(月額プラン),0,500
26,U-NEXT,0,1990
27,DAZN,0,1750
